year,month_name,segment,product_type,region,txn_count,gross_amount,net_flow
2023,Dec,Business,Deposit,South,14,8057.65,3677.09
2023,Dec,Business,Deposit,West,60,25722.44,4542.28
2023,Dec,Business,Lending,East,183,89350.53,13146.05
2023,Dec,Business,Lending,North,82,40304.17,6170.01
2023,Dec,Business,Lending,South,12,5400.81,741.07
2023,Dec,Business,Lending,West,126,61632.66,20265.96
2023,Dec,Premier,Deposit,East,236,117390.11,21518.81
2023,Dec,Premier,Deposit,North,93,45053.24,14031.54
2023,Dec,Premier,Deposit,South,27,16217.18,2536.82
2023,Dec,Premier,Deposit,West,148,74464.27,17194.55
2023,Dec,Premier,Lending,East,379,191750.79,22712.03
2023,Dec,Premier,Lending,North,193,94322.12,19753.78
2023,Dec,Premier,Lending,South,39,18244.23,6578.89
2023,Dec,Premier,Lending,West,276,136512.49,14053.51
2023,Dec,Retail,Deposit,East,789,387787.30,53418.62
2023,Dec,Retail,Deposit,North,374,185715.58,46354.70
2023,Dec,Retail,Deposit,South,105,52592.71,16354.79
2023,Dec,Retail,Deposit,West,566,282047.12,48331.58
2023,Dec,Retail,Lending,East,1234,629870.12,135149.06
2023,Dec,Retail,Lending,North,657,317536.48,84561.44
2023,Dec,Retail,Lending,South,208,98876.81,24173.23
2023,Dec,Retail,Lending,West,877,448199.45,79356.51
2023,Feb,Business,Deposit,East,111,55567.22,2747.66
2023,Feb,Business,Deposit,North,46,23532.35,5618.33
2023,Feb,Business,Deposit,South,10,5163.80,-879.44
2023,Feb,Business,Deposit,West,77,42402.10,-5341.90
2023,Feb,Business,Lending,East,181,95405.18,13675.24
2023,Feb,Business,Lending,North,65,34878.25,9907.23
2023,Feb,Business,Lending,South,17,8685.62,-2741.96
2023,Feb,Business,Lending,West,104,57211.60,11549.88
2023,Feb,Premier,Deposit,East,233,114552.78,30608.84
2023,Feb,Premier,Deposit,North,76,41997.00,799.88
2023,Feb,Premier,Deposit,South,23,9834.82,5128.02
2023,Feb,Premier,Deposit,West,134,61385.33,6659.61
2023,Feb,Premier,Lending,East,345,173315.27,56625.35
2023,Feb,Premier,Lending,North,162,79931.00,10277.24
2023,Feb,Premier,Lending,South,29,16544.58,6198.00
2023,Feb,Premier,Lending,West,240,120141.64,26371.38
2023,Feb,Retail,Deposit,East,840,415924.63,96920.49
2023,Feb,Retail,Deposit,North,329,166686.13,52196.47
2023,Feb,Retail,Deposit,South,96,53460.56,6187.34
2023,Feb,Retail,Deposit,West,523,259112.17,51157.05
2023,Feb,Retail,Lending,East,1147,579509.65,126128.55
2023,Feb,Retail,Lending,North,578,294369.69,85515.67
2023,Feb,Retail,Lending,South,139,62718.63,20145.85
2023,Feb,Retail,Lending,West,766,389227.19,69280.19
2023,Jan,Business,Deposit,East,90,41735.04,13150.74
2023,Jan,Business,Deposit,North,63,32383.93,12689.63
2023,Jan,Business,Deposit,South,12,5702.66,548.20
2023,Jan,Business,Deposit,West,75,38865.65,2025.43
2023,Jan,Business,Lending,East,156,81246.62,5921.14
2023,Jan,Business,Lending,North,74,37786.23,16794.79
2023,Jan,Business,Lending,South,23,12437.31,7207.61
2023,Jan,Business,Lending,West,122,62746.18,11331.10
2023,Jan,Premier,Deposit,East,198,105972.32,26602.48
2023,Jan,Premier,Deposit,North,76,35146.78,5143.08
2023,Jan,Premier,Deposit,South,22,10331.07,6137.73
2023,Jan,Premier,Deposit,West,136,66180.61,8495.29
2023,Jan,Premier,Lending,East,365,181301.36,29568.74
2023,Jan,Premier,Lending,North,191,90596.75,29820.67
2023,Jan,Premier,Lending,South,51,26650.25,8213.03
2023,Jan,Premier,Lending,West,290,148533.28,16566.36
2023,Jan,Retail,Deposit,East,787,373426.00,69664.28
2023,Jan,Retail,Deposit,North,386,197101.11,56881.73
2023,Jan,Retail,Deposit,South,95,42534.98,13071.56
2023,Jan,Retail,Deposit,West,570,297515.54,65111.34
2023,Jan,Retail,Lending,East,1310,658758.59,143441.07
2023,Jan,Retail,Lending,North,601,306766.99,65753.57
2023,Jan,Retail,Lending,South,145,70842.81,9889.89
2023,Jan,Retail,Lending,West,889,434785.53,114723.03
2023,Jul,Business,Deposit,East,90,43165.77,12332.01
2023,Jul,Business,Deposit,North,51,27953.82,7693.96
2023,Jul,Business,Deposit,South,8,3431.91,353.25
2023,Jul,Business,Deposit,West,93,51405.43,11486.47
2023,Jul,Business,Lending,East,192,98059.92,23015.12
2023,Jul,Business,Lending,North,79,41047.06,1410.60
2023,Jul,Business,Lending,South,11,6072.05,4277.35
2023,Jul,Business,Lending,West,123,63921.03,11619.39
2023,Jul,Premier,Deposit,East,229,114394.79,11024.65
2023,Jul,Premier,Deposit,North,62,34226.42,10633.14
2023,Jul,Premier,Deposit,South,29,14117.88,186.84
2023,Jul,Premier,Deposit,West,125,64626.54,12869.96
2023,Jul,Premier,Lending,East,352,174504.54,39091.46
2023,Jul,Premier,Lending,North,186,91872.01,25896.15
2023,Jul,Premier,Lending,South,37,18247.62,-1670.94
2023,Jul,Premier,Lending,West,260,133662.22,22956.34
2023,Jul,Retail,Deposit,East,836,434383.10,95965.02
2023,Jul,Retail,Deposit,North,369,177127.46,41588.10
2023,Jul,Retail,Deposit,South,91,41870.69,5970.17
2023,Jul,Retail,Deposit,West,541,269805.22,38739.18
2023,Jul,Retail,Lending,East,1247,602031.62,101354.26
2023,Jul,Retail,Lending,North,647,317321.10,39420.66
2023,Jul,Retail,Lending,South,157,76644.13,6899.11
2023,Jul,Retail,Lending,West,849,431227.90,75338.92
2023,Jun,Business,Deposit,East,106,49499.50,9242.16
2023,Jun,Business,Deposit,North,38,19345.13,4590.81
2023,Jun,Business,Deposit,South,16,10430.88,-420.42
2023,Jun,Business,Deposit,West,82,42989.34,2272.40
2023,Jun,Business,Lending,East,180,94440.64,21424.60
2023,Jun,Business,Lending,North,76,35721.96,11213.72
2023,Jun,Business,Lending,South,17,7147.54,-587.64
2023,Jun,Business,Lending,West,125,64350.20,11080.22
2023,Jun,Premier,Deposit,East,224,107213.82,28627.38
2023,Jun,Premier,Deposit,North,88,38814.15,12903.11
2023,Jun,Premier,Deposit,South,32,17132.46,1031.54
2023,Jun,Premier,Deposit,West,153,70338.94,9999.56
2023,Jun,Premier,Lending,East,415,205959.73,40464.83
2023,Jun,Premier,Lending,North,169,92185.48,28319.92
2023,Jun,Premier,Lending,South,35,21041.82,4626.78
2023,Jun,Premier,Lending,West,236,127780.41,41563.61
2023,Jun,Retail,Deposit,East,799,384205.25,48113.57
2023,Jun,Retail,Deposit,North,340,165276.55,31541.91
2023,Jun,Retail,Deposit,South,91,49019.68,15176.96
2023,Jun,Retail,Deposit,West,552,282224.24,46456.54
2023,Jun,Retail,Lending,East,1277,653751.06,131664.64
2023,Jun,Retail,Lending,North,615,307992.27,69043.63
2023,Jun,Retail,Lending,South,147,75601.20,21052.92
2023,Jun,Retail,Lending,West,832,428804.45,85836.63
2023,Mar,Business,Deposit,East,101,52382.18,14617.56
2023,Mar,Business,Deposit,North,69,32492.99,-30.93
2023,Mar,Business,Deposit,South,11,6672.89,2027.23
2023,Mar,Business,Deposit,West,77,38106.49,1079.69
2023,Mar,Business,Lending,East,166,77913.87,3440.17
2023,Mar,Business,Lending,North,62,31702.76,1416.06
2023,Mar,Business,Lending,South,17,7712.72,1891.60
2023,Mar,Business,Lending,West,125,65169.47,18078.93
2023,Mar,Premier,Deposit,East,245,122533.89,38369.61
2023,Mar,Premier,Deposit,North,73,32260.59,9891.35
2023,Mar,Premier,Deposit,South,27,15233.75,-4253.01
2023,Mar,Premier,Deposit,West,131,70730.67,23870.75
2023,Mar,Premier,Lending,East,412,206217.53,40657.89
2023,Mar,Premier,Lending,North,183,88300.97,11322.15
2023,Mar,Premier,Lending,South,42,25289.16,11241.44
2023,Mar,Premier,Lending,West,271,137053.25,30742.49
2023,Mar,Retail,Deposit,East,808,414303.89,100424.31
2023,Mar,Retail,Deposit,North,367,187000.00,37979.90
2023,Mar,Retail,Deposit,South,91,50920.93,19980.65
2023,Mar,Retail,Deposit,West,566,281743.23,61951.79
2023,Mar,Retail,Lending,East,1235,605045.55,113998.11
2023,Mar,Retail,Lending,North,610,297014.05,65510.41
2023,Mar,Retail,Lending,South,172,103195.08,27207.50
2023,Mar,Retail,Lending,West,797,398186.36,77645.14
2023,May,Business,Deposit,East,121,64628.73,3205.09
2023,May,Business,Deposit,North,43,19850.90,9329.10
2023,May,Business,Deposit,South,13,6152.68,4962.96
2023,May,Business,Deposit,West,75,37114.52,11917.84
2023,May,Business,Lending,East,193,93886.85,34874.27
2023,May,Business,Lending,North,84,38678.95,13676.49
2023,May,Business,Lending,South,18,11712.42,1088.12
2023,May,Business,Lending,West,117,58218.42,9287.38
2023,May,Premier,Deposit,East,188,95341.55,24274.17
2023,May,Premier,Deposit,North,89,46105.10,8346.36
2023,May,Premier,Deposit,South,23,9401.28,-141.92
2023,May,Premier,Deposit,West,146,71806.85,4729.41
2023,May,Premier,Lending,East,415,198544.16,27969.70
2023,May,Premier,Lending,North,187,90319.29,24181.73
2023,May,Premier,Lending,South,44,24142.69,1399.97
2023,May,Premier,Lending,West,282,142621.01,40565.71
2023,May,Retail,Deposit,East,864,434103.13,104732.75
2023,May,Retail,Deposit,North,350,170428.15,36894.47
2023,May,Retail,Deposit,South,99,44978.31,4035.11
2023,May,Retail,Deposit,West,589,284716.14,60187.06
2023,May,Retail,Lending,East,1274,640175.84,147143.10
2023,May,Retail,Lending,North,685,363068.15,66220.59
2023,May,Retail,Lending,South,137,73309.04,23275.02
2023,May,Retail,Lending,West,832,426887.09,100210.29
2023,Nov,Business,Deposit,East,99,52319.46,5341.38
2023,Nov,Business,Deposit,North,52,27257.25,2127.99
2023,Nov,Business,Deposit,South,10,5569.98,-1317.96
2023,Nov,Business,Deposit,West,67,27186.40,2844.44
2023,Nov,Business,Lending,East,158,74926.49,20385.85
2023,Nov,Business,Lending,North,72,33189.60,12976.92
2023,Nov,Business,Lending,South,6,2115.27,-156.73
2023,Nov,Business,Lending,West,132,66444.40,6991.66
2023,Nov,Premier,Deposit,East,235,119893.72,23481.12
2023,Nov,Premier,Deposit,North,86,42686.67,1626.05
2023,Nov,Premier,Deposit,South,35,16590.88,-1393.84
2023,Nov,Premier,Deposit,West,126,68725.53,12821.03
2023,Nov,Premier,Lending,East,386,191307.09,38907.59
2023,Nov,Premier,Lending,North,193,96630.09,6192.53
2023,Nov,Premier,Lending,South,34,18452.24,11725.00
2023,Nov,Premier,Lending,West,267,141779.87,30783.13
2023,Nov,Retail,Deposit,East,785,408033.92,56961.82
2023,Nov,Retail,Deposit,North,353,188559.24,38557.28
2023,Nov,Retail,Deposit,South,83,42234.69,14990.37
2023,Nov,Retail,Deposit,West,547,271549.31,52646.01
2023,Nov,Retail,Lending,East,1214,588010.62,120562.62
2023,Nov,Retail,Lending,North,581,279212.60,64417.90
2023,Nov,Retail,Lending,South,177,86954.21,11728.69
2023,Nov,Retail,Lending,West,783,407568.11,95974.17
2023,Oct,Business,Deposit,East,111,54325.20,13240.82
2023,Oct,Business,Deposit,North,54,29223.39,-3756.75
2023,Oct,Business,Deposit,South,13,7354.38,796.60
2023,Oct,Business,Deposit,West,78,37759.95,15211.27
2023,Oct,Business,Lending,East,167,82952.53,9968.43
2023,Oct,Business,Lending,North,63,29509.93,4167.35
2023,Oct,Business,Lending,South,18,8757.77,2775.65
2023,Oct,Business,Lending,West,122,72798.03,10675.73
2023,Oct,Premier,Deposit,East,239,119852.60,15782.30
2023,Oct,Premier,Deposit,North,79,35059.24,2350.76
2023,Oct,Premier,Deposit,South,23,11309.19,4178.11
2023,Oct,Premier,Deposit,West,143,69542.09,18707.39
2023,Oct,Premier,Lending,East,393,210712.58,37645.00
2023,Oct,Premier,Lending,North,190,93721.62,22832.80
2023,Oct,Premier,Lending,South,41,21532.26,290.82
2023,Oct,Premier,Lending,West,272,133185.56,26860.72
2023,Oct,Retail,Deposit,East,827,401370.45,67726.13
2023,Oct,Retail,Deposit,North,332,172604.76,39520.42
2023,Oct,Retail,Deposit,South,75,33423.04,15186.92
2023,Oct,Retail,Deposit,West,593,291734.00,57122.40
2023,Oct,Retail,Lending,East,1291,649390.30,129066.04
2023,Oct,Retail,Lending,North,595,286160.61,67700.65
2023,Oct,Retail,Lending,South,164,74778.32,15595.98
2023,Oct,Retail,Lending,West,850,423094.53,96344.29
2023,Sep,Business,Deposit,East,104,46468.33,13420.99
2023,Sep,Business,Deposit,North,55,28703.72,5179.94
2023,Sep,Business,Deposit,South,6,2462.48,872.82
2023,Sep,Business,Deposit,West,72,34752.67,11645.51
2023,Sep,Business,Lending,East,187,88648.40,10601.34
2023,Sep,Business,Lending,North,69,35940.26,8919.34
2023,Sep,Business,Lending,South,16,9013.14,-763.60
2023,Sep,Business,Lending,West,115,60015.46,16136.34
2023,Sep,Premier,Deposit,East,228,110126.65,13976.33
2023,Sep,Premier,Deposit,North,94,45734.13,23082.93
2023,Sep,Premier,Deposit,South,29,12696.39,2368.17
2023,Sep,Premier,Deposit,West,124,65573.83,7534.75
2023,Sep,Premier,Lending,East,382,185481.69,34332.47
2023,Sep,Premier,Lending,North,133,65636.29,9470.65
2023,Sep,Premier,Lending,South,27,15889.47,2973.61
2023,Sep,Premier,Lending,West,222,107401.69,27026.13
2023,Sep,Retail,Deposit,East,772,376035.51,122460.15
2023,Sep,Retail,Deposit,North,382,193349.46,29465.88
2023,Sep,Retail,Deposit,South,78,36709.32,14217.22
2023,Sep,Retail,Deposit,West,540,264852.80,82185.44
2023,Sep,Retail,Lending,East,1256,626151.09,121804.69
2023,Sep,Retail,Lending,North,623,310219.93,32669.63
2023,Sep,Retail,Lending,South,162,84527.46,14149.60
2023,Sep,Retail,Lending,West,837,410532.00,58221.04
2024,Apr,Business,Deposit,East,104,50083.65,6926.55
2024,Apr,Business,Deposit,North,67,32704.56,6833.20
2024,Apr,Business,Deposit,South,10,3370.32,1519.02
2024,Apr,Business,Deposit,West,72,37346.16,9335.28
2024,Apr,Business,Lending,East,171,89277.07,31150.15
2024,Apr,Business,Lending,North,80,36885.06,6752.36
2024,Apr,Business,Lending,South,11,6153.11,5441.15
2024,Apr,Business,Lending,West,142,75761.04,18008.86
2024,Apr,Premier,Deposit,East,237,113059.53,28848.79
2024,Apr,Premier,Deposit,North,75,39600.83,10227.47
2024,Apr,Premier,Deposit,South,20,10416.05,-731.89
2024,Apr,Premier,Deposit,West,131,68761.18,23715.10
2024,Apr,Premier,Lending,East,370,185125.32,23377.70
2024,Apr,Premier,Lending,North,193,95672.14,18343.12
2024,Apr,Premier,Lending,South,40,21614.40,3803.68
2024,Apr,Premier,Lending,West,268,131742.30,16117.80
2024,Apr,Retail,Deposit,East,823,416357.63,114401.01
2024,Apr,Retail,Deposit,North,344,164556.04,18111.34
2024,Apr,Retail,Deposit,South,83,46914.94,6872.76
2024,Apr,Retail,Deposit,West,539,279278.42,38297.00
2024,Apr,Retail,Lending,East,1226,601963.17,116524.95
2024,Apr,Retail,Lending,North,614,327094.84,89738.94
2024,Apr,Retail,Lending,South,152,75817.21,18847.49
2024,Apr,Retail,Lending,West,816,395886.77,63393.13
2024,Aug,Business,Deposit,East,89,44700.01,15689.75
2024,Aug,Business,Deposit,North,48,23662.88,5368.10
2024,Aug,Business,Deposit,South,11,5849.47,3877.69
2024,Aug,Business,Deposit,West,64,31320.32,9879.44
2024,Aug,Business,Lending,East,161,75775.08,7647.72
2024,Aug,Business,Lending,North,83,42600.33,13865.91
2024,Aug,Business,Lending,South,14,7512.80,2758.36
2024,Aug,Business,Lending,West,112,57897.67,399.47
2024,Aug,Premier,Deposit,East,280,147964.03,38448.33
2024,Aug,Premier,Deposit,North,92,53368.21,18679.11
2024,Aug,Premier,Deposit,South,29,16062.77,4322.71
2024,Aug,Premier,Deposit,West,164,83086.67,15227.01
2024,Aug,Premier,Lending,East,364,185485.26,43507.62
2024,Aug,Premier,Lending,North,198,101838.40,26139.84
2024,Aug,Premier,Lending,South,35,17644.18,2716.76
2024,Aug,Premier,Lending,West,274,133133.69,30928.33
2024,Aug,Retail,Deposit,East,837,413260.94,120308.76
2024,Aug,Retail,Deposit,North,355,176131.81,48123.09
2024,Aug,Retail,Deposit,South,96,50262.55,8467.37
2024,Aug,Retail,Deposit,West,608,305352.32,60173.30
2024,Aug,Retail,Lending,East,1246,609471.51,131752.09
2024,Aug,Retail,Lending,North,644,325753.98,55448.24
2024,Aug,Retail,Lending,South,166,86425.41,5481.81
2024,Aug,Retail,Lending,West,788,401878.69,66582.97
2024,Dec,Business,Deposit,East,121,66301.56,14357.94
2024,Dec,Business,Deposit,North,50,22782.78,2095.70
2024,Dec,Business,Deposit,South,9,4039.87,2062.01
2024,Dec,Business,Deposit,West,81,36915.17,6898.33
2024,Dec,Business,Lending,East,188,100230.95,28781.37
2024,Dec,Business,Lending,North,65,30526.49,10323.93
2024,Dec,Business,Lending,South,15,7157.53,-4122.67
2024,Dec,Business,Lending,West,137,73073.14,25801.84
2024,Dec,Premier,Deposit,East,235,120004.35,10344.97
2024,Dec,Premier,Deposit,North,103,49822.49,10515.39
2024,Dec,Premier,Deposit,South,33,14238.82,4063.76
2024,Dec,Premier,Deposit,West,139,70042.48,3914.94
2024,Dec,Premier,Lending,East,417,205985.96,24278.08
2024,Dec,Premier,Lending,North,198,95205.24,29789.90
2024,Dec,Premier,Lending,South,40,18214.23,5988.53
2024,Dec,Premier,Lending,West,296,162983.25,14698.77
2024,Dec,Retail,Deposit,East,824,402216.91,96745.27
2024,Dec,Retail,Deposit,North,380,200073.60,51786.46
2024,Dec,Retail,Deposit,South,103,51316.62,-3711.08
2024,Dec,Retail,Deposit,West,593,281394.36,48775.90
2024,Dec,Retail,Lending,East,1274,643747.48,110732.64
2024,Dec,Retail,Lending,North,643,317948.90,73628.96
2024,Dec,Retail,Lending,South,175,93150.13,12476.43
2024,Dec,Retail,Lending,West,847,427702.90,108307.78
2024,Feb,Business,Deposit,East,107,52974.05,9990.17
2024,Feb,Business,Deposit,North,40,18977.32,-1219.04
2024,Feb,Business,Deposit,South,4,2137.84,175.46
2024,Feb,Business,Deposit,West,71,34905.60,11294.98
2024,Feb,Business,Lending,East,172,84454.30,20629.34
2024,Feb,Business,Lending,North,72,30530.07,2941.89
2024,Feb,Business,Lending,South,14,6458.96,-1809.34
2024,Feb,Business,Lending,West,117,62317.05,12930.53
2024,Feb,Premier,Deposit,East,205,104094.72,2318.98
2024,Feb,Premier,Deposit,North,79,41102.88,14851.92
2024,Feb,Premier,Deposit,South,21,9339.04,2541.14
2024,Feb,Premier,Deposit,West,131,64087.48,10317.44
2024,Feb,Premier,Lending,East,337,174124.28,37484.06
2024,Feb,Premier,Lending,North,189,99412.81,21201.75
2024,Feb,Premier,Lending,South,42,19774.12,688.58
2024,Feb,Premier,Lending,West,255,123424.40,33166.54
2024,Feb,Retail,Deposit,East,800,389745.44,57393.24
2024,Feb,Retail,Deposit,North,330,159945.54,38457.68
2024,Feb,Retail,Deposit,South,92,45461.52,7129.44
2024,Feb,Retail,Deposit,West,520,270461.14,66451.96
2024,Feb,Retail,Lending,East,1171,568972.82,99838.68
2024,Feb,Retail,Lending,North,555,281324.17,61556.89
2024,Feb,Retail,Lending,South,157,71146.58,23241.74
2024,Feb,Retail,Lending,West,789,386947.00,57358.58
2024,Jan,Business,Deposit,East,109,59579.82,13166.88
2024,Jan,Business,Deposit,North,51,20685.10,4911.44
2024,Jan,Business,Deposit,South,6,4127.92,-1865.76
2024,Jan,Business,Deposit,West,84,42502.23,13575.95
2024,Jan,Business,Lending,East,182,95512.45,18783.77
2024,Jan,Business,Lending,North,81,39880.53,7763.95
2024,Jan,Business,Lending,South,18,7975.53,-1621.01
2024,Jan,Business,Lending,West,134,65411.43,4877.69
2024,Jan,Premier,Deposit,East,238,118742.37,29861.95
2024,Jan,Premier,Deposit,North,76,43467.30,19211.60
2024,Jan,Premier,Deposit,South,35,18151.21,1127.03
2024,Jan,Premier,Deposit,West,135,72857.46,8413.34
2024,Jan,Premier,Lending,East,384,178308.28,4187.52
2024,Jan,Premier,Lending,North,173,85099.93,14186.11
2024,Jan,Premier,Lending,South,42,19813.57,3128.37
2024,Jan,Premier,Lending,West,272,141802.18,29197.32
2024,Jan,Retail,Deposit,East,880,434305.13,69667.95
2024,Jan,Retail,Deposit,North,370,182054.16,35462.12
2024,Jan,Retail,Deposit,South,87,49519.95,24956.41
2024,Jan,Retail,Deposit,West,525,260069.22,36985.10
2024,Jan,Retail,Lending,East,1382,671917.09,145386.43
2024,Jan,Retail,Lending,North,650,327216.67,69420.37
2024,Jan,Retail,Lending,South,147,72463.56,15138.92
2024,Jan,Retail,Lending,West,791,404756.05,66683.57
2024,Jul,Business,Deposit,East,103,49132.22,2559.28
2024,Jul,Business,Deposit,North,51,27276.13,5445.71
2024,Jul,Business,Deposit,South,10,4780.23,3068.55
2024,Jul,Business,Deposit,West,83,38922.96,2667.48
2024,Jul,Business,Lending,East,189,101999.34,23818.56
2024,Jul,Business,Lending,North,87,43978.81,21234.71
2024,Jul,Business,Lending,South,10,4234.13,-136.85
2024,Jul,Business,Lending,West,143,73431.11,22228.35
2024,Jul,Premier,Deposit,East,212,105785.17,14677.73
2024,Jul,Premier,Deposit,North,82,37707.63,1127.21
2024,Jul,Premier,Deposit,South,19,9898.40,46.84
2024,Jul,Premier,Deposit,West,150,81576.17,12425.99
2024,Jul,Premier,Lending,East,379,196487.65,39511.95
2024,Jul,Premier,Lending,North,201,101945.89,19099.07
2024,Jul,Premier,Lending,South,38,19437.62,10426.96
2024,Jul,Premier,Lending,West,276,146261.12,46618.98
2024,Jul,Retail,Deposit,East,874,430709.71,95408.97
2024,Jul,Retail,Deposit,North,364,178759.58,38178.44
2024,Jul,Retail,Deposit,South,114,52037.53,10156.27
2024,Jul,Retail,Deposit,West,554,268877.98,60321.50
2024,Jul,Retail,Lending,East,1283,647331.86,141803.62
2024,Jul,Retail,Lending,North,673,338976.48,64243.62
2024,Jul,Retail,Lending,South,164,91022.02,19281.00
2024,Jul,Retail,Lending,West,843,438346.61,99579.87
2024,Jun,Business,Deposit,East,101,50386.92,13979.30
2024,Jun,Business,Deposit,North,38,18328.65,-3484.09
2024,Jun,Business,Deposit,South,5,1303.55,1128.75
2024,Jun,Business,Deposit,West,83,38766.71,14635.91
2024,Jun,Business,Lending,East,179,85041.20,2863.92
2024,Jun,Business,Lending,North,77,41350.48,2405.82
2024,Jun,Business,Lending,South,19,8706.48,3170.32
2024,Jun,Business,Lending,West,112,57969.47,22559.93
2024,Jun,Premier,Deposit,East,235,116777.64,28701.94
2024,Jun,Premier,Deposit,North,78,34687.96,12488.40
2024,Jun,Premier,Deposit,South,21,9477.47,3220.77
2024,Jun,Premier,Deposit,West,139,68295.17,13273.45
2024,Jun,Premier,Lending,East,391,194910.07,40570.35
2024,Jun,Premier,Lending,North,187,95652.39,15786.07
2024,Jun,Premier,Lending,South,34,15189.43,6703.39
2024,Jun,Premier,Lending,West,299,157617.16,19967.76
2024,Jun,Retail,Deposit,East,793,393094.47,73826.49
2024,Jun,Retail,Deposit,North,311,155179.87,32153.51
2024,Jun,Retail,Deposit,South,79,35617.18,5331.76
2024,Jun,Retail,Deposit,West,560,291688.11,39368.69
2024,Jun,Retail,Lending,East,1157,596582.74,127374.10
2024,Jun,Retail,Lending,North,601,306359.27,64296.45
2024,Jun,Retail,Lending,South,141,78905.83,20165.33
2024,Jun,Retail,Lending,West,836,415352.70,77579.86
2024,Mar,Business,Deposit,East,116,60258.92,14605.94
2024,Mar,Business,Deposit,North,54,24255.50,4829.20
2024,Mar,Business,Deposit,South,11,4637.93,-1258.53
2024,Mar,Business,Deposit,West,77,40384.07,4656.29
2024,Mar,Business,Lending,East,204,110306.13,16987.91
2024,Mar,Business,Lending,North,70,33419.92,7585.68
2024,Mar,Business,Lending,South,16,7082.52,-1066.00
2024,Mar,Business,Lending,West,113,54231.46,15797.18
2024,Mar,Premier,Deposit,East,231,120318.14,37585.28
2024,Mar,Premier,Deposit,North,98,54474.28,1103.16
2024,Mar,Premier,Deposit,South,32,17524.19,1257.97
2024,Mar,Premier,Deposit,West,158,79031.15,16018.23
2024,Mar,Premier,Lending,East,405,200127.97,44782.55
2024,Mar,Premier,Lending,North,188,97128.78,7775.28
2024,Mar,Premier,Lending,South,33,18247.50,-3037.70
2024,Mar,Premier,Lending,West,276,136770.83,36790.65
2024,Mar,Retail,Deposit,East,829,409570.19,77070.09
2024,Mar,Retail,Deposit,North,421,213569.10,18216.30
2024,Mar,Retail,Deposit,South,93,44759.58,2008.72
2024,Mar,Retail,Deposit,West,511,259221.62,42065.84
2024,Mar,Retail,Lending,East,1251,648722.79,169787.67
2024,Mar,Retail,Lending,North,655,329885.96,49822.48
