txn_id,account_id,txn_date,txn_type,amount
150,3890,2023-03-08,TRANSFER,835.35
151,7820,2023-07-02,WITHDRAWAL,1460.94
152,3734,2025-06-30,WITHDRAWAL,896.96
153,5211,2023-11-14,INTEREST,140.51
154,1722,2023-08-11,TRANSFER,484.38
155,3154,2024-12-10,DEPOSIT,156.91
156,4115,2024-09-09,DEPOSIT,1203.38
157,5499,2024-07-14,TRANSFER,1563.45
158,4741,2023-02-16,WITHDRAWAL,1475.53
159,2832,2024-05-22,FEE,690.03
160,6513,2024-06-17,FEE,273.71
161,1705,2023-10-07,INTEREST,238.36
162,458,2024-01-14,DEPOSIT,391.54
163,6163,2023-01-09,FEE,134.65
164,1277,2023-11-28,DEPOSIT,1554.44
165,7532,2024-09-06,WITHDRAWAL,534.3
166,5313,2023-05-22,WITHDRAWAL,78.3
167,7446,2025-05-27,FEE,270.18
168,5777,2023-02-10,INTEREST,219.32
169,7203,2023-08-16,INTEREST,110.87
170,4775,2024-09-24,WITHDRAWAL,347.5
171,3316,2023-12-10,DEPOSIT,245.78
172,1609,2024-11-11,FEE,391.74
173,3895,2024-06-11,DEPOSIT,416.85
174,6789,2023-04-04,FEE,210.18
175,1097,2023-07-02,INTEREST,403.15
176,627,2025-06-12,FEE,528.15
177,1291,2025-05-07,INTEREST,1287.84
178,7502,2023-10-05,DEPOSIT,427.84
179,4718,2024-03-08,DEPOSIT,517.54
180,5288,2023-09-05,WITHDRAWAL,395.54
181,4824,2023-03-18,INTEREST,1309.64
182,3412,2023-12-27,TRANSFER,285.0
183,2145,2024-02-14,FEE,357.42
184,900,2023-04-21,FEE,217.61
185,5712,2023-06-11,DEPOSIT,771.34
186,6873,2024-07-05,TRANSFER,1813.38
187,698,2023-02-16,INTEREST,1405.48
188,6081,2023-08-28,INTEREST,828.74
189,2931,2023-04-03,INTEREST,144.65
190,4056,2024-10-27,TRANSFER,771.04
191,7232,2024-09-13,FEE,220.93
192,5699,2023-02-02,FEE,65.85
193,4192,2025-06-06,INTEREST,788.12
194,3618,2023-03-23,DEPOSIT,571.8
195,3441,2025-01-27,INTEREST,890.68
196,3417,2023-10-02,TRANSFER,1036.38
197,3051,2025-06-29,DEPOSIT,190.51
198,2490,2024-06-15,WITHDRAWAL,1518.29
199,6595,2024-05-24,FEE,480.21
200,6023,2025-02-11,FEE,150.89
201,6378,2023-06-22,INTEREST,114.52
202,5795,2024-12-21,INTEREST,880.38
203,5277,2023-03-05,INTEREST,645.71
204,6120,2024-12-23,DEPOSIT,192.05
205,793,2023-04-22,WITHDRAWAL,1045.24
206,2076,2024-02-12,WITHDRAWAL,376.35
207,3544,2024-05-16,TRANSFER,400.53
208,7749,2024-02-23,DEPOSIT,681.33
209,923,2024-04-25,INTEREST,416.72
210,1482,2023-04-12,DEPOSIT,761.35
211,6988,2023-12-14,TRANSFER,945.72
212,7506,2024-09-03,WITHDRAWAL,43.26
213,742,2025-06-28,INTEREST,321.94
214,5000,2024-02-27,FEE,967.41
215,2034,2025-03-28,DEPOSIT,427.18
216,1446,2024-03-05,DEPOSIT,652.21
217,375,2023-05-16,DEPOSIT,980.04
218,2910,2024-10-04,WITHDRAWAL,968.05
219,5769,2023-12-24,DEPOSIT,813.96
220,624,2023-09-12,WITHDRAWAL,229.92
221,6443,2023-01-09,TRANSFER,256.89
222,1049,2023-08-29,INTEREST,504.33
223,606,2023-04-09,DEPOSIT,454.34
224,2114,2023-03-05,FEE,256.36
225,2577,2023-05-19,DEPOSIT,758.52
226,5741,2023-05-15,WITHDRAWAL,444.45
227,5511,2023-10-03,INTEREST,663.29
228,278,2024-09-08,INTEREST,1811.0
229,2058,2025-05-18,WITHDRAWAL,530.85
230,7514,2023-12-05,INTEREST,43.48
231,1165,2025-03-25,INTEREST,1088.27
232,3882,2023-04-21,FEE,1002.43
233,4124,2024-10-13,FEE,519.71
234,3172,2024-04-13,TRANSFER,144.74
235,5307,2023-02-18,FEE,350.06
236,7947,2023-02-05,FEE,1104.63
237,6537,2024-09-08,DEPOSIT,194.43
238,2768,2023-03-19,TRANSFER,494.39
239,4945,2023-05-05,WITHDRAWAL,1033.44
240,7479,2024-02-09,WITHDRAWAL,254.94
241,261,2024-03-13,DEPOSIT,1198.75
242,7237,2024-03-05,DEPOSIT,533.82
243,4134,2024-10-28,TRANSFER,1035.04
244,5186,2023-09-07,DEPOSIT,244.05
245,5595,2025-02-27,FEE,273.78
246,3566,2024-11-24,DEPOSIT,284.28
247,3819,2024-04-10,FEE,80.22
248,4563,2023-04-12,TRANSFER,340.56
249,6208,2023-09-27,WITHDRAWAL,1505.65
250,2795,2024-12-12,TRANSFER,344.03
251,7833,2023-04-22,DEPOSIT,730.52
252,1204,2025-05-19,WITHDRAWAL,82.51
253,6822,2024-03-17,TRANSFER,183.48
254,6989,2024-05-31,FEE,428.48
255,2013,2023-09-12,WITHDRAWAL,291.38
256,1811,2023-01-07,WITHDRAWAL,277.14
257,6243,2024-10-23,TRANSFER,394.59
258,3609,2023-08-15,TRANSFER,349.06
259,304,2024-03-01,FEE,555.27
260,1097,2024-12-08,FEE,425.73
261,4029,2023-10-11,FEE,592.33
262,3619,2023-09-26,INTEREST,259.3
263,5043,2024-07-06,DEPOSIT,718.94
264,1167,2024-08-10,FEE,361.75
265,4310,2024-05-15,FEE,501.58
266,7885,2024-06-28,WITHDRAWAL,106.05
267,2353,2023-04-30,FEE,1224.07
268,5534,2023-04-11,DEPOSIT,387.07
269,5849,2025-04-28,INTEREST,808.26
270,345,2024-01-22,TRANSFER,708.94
271,744,2024-04-19,TRANSFER,616.78
272,1622,2024-06-01,FEE,389.46
273,2542,2024-07-29,INTEREST,299.13
274,5801,2024-04-04,WITHDRAWAL,725.61
275,1923,2025-01-18,FEE,297.16
276,1149,2023-04-29,FEE,842.78
277,2889,2023-07-28,INTEREST,81.04
278,6552,2024-01-07,WITHDRAWAL,1245.34
279,5356,2023-11-06,DEPOSIT,694.34
280,3951,2024-07-17,FEE,319.65
281,7136,2024-11-10,DEPOSIT,302.39
282,657,2024-12-03,WITHDRAWAL,1275.79
283,4713,2025-06-03,TRANSFER,822.5
284,6488,2023-07-11,DEPOSIT,366.04
285,776,2025-02-03,TRANSFER,89.93
286,1670,2024-05-16,WITHDRAWAL,762.01
287,7689,2024-12-23,TRANSFER,477.48
288,7695,2023-05-12,TRANSFER,539.38
289,6208,2023-05-15,FEE,26.67
290,2008,2023-10-07,FEE,372.74
291,7858,2024-07-01,TRANSFER,389.54
292,4598,2024-11-15,WITHDRAWAL,274.08
293,1660,2025-05-26,TRANSFER,231.02
294,7179,2024-09-25,FEE,855.02
295,607,2024-03-13,FEE,680.71
296,3704,2025-01-25,INTEREST,255.97
297,430,2024-04-11,WITHDRAWAL,498.98
298,3373,2023-02-05,WITHDRAWAL,806.66
299,1005,2024-06-14,INTEREST,982.53
300,5366,2024-10-24,FEE,153.49
301,1613,2023-12-01,WITHDRAWAL,193.92
302,4190,2023-05-29,FEE,374.56
303,2363,2025-05-25,DEPOSIT,931.14
304,2201,2023-05-06,WITHDRAWAL,441.21
305,5360,2023-12-04,TRANSFER,635.84
306,2188,2024-07-12,DEPOSIT,246.03
307,1621,2025-05-05,INTEREST,269.04
308,4312,2023-03-16,TRANSFER,427.56
309,2842,2025-06-25,DEPOSIT,265.07
310,4466,2024-05-06,WITHDRAWAL,1023.3
311,972,2025-05-10,WITHDRAWAL,792.12
312,7461,2023-02-22,INTEREST,713.34
313,2289,2024-12-10,TRANSFER,557.76
314,5077,2024-04-20,WITHDRAWAL,233.36
315,1559,2023-09-15,WITHDRAWAL,420.51
316,2369,2025-03-11,INTEREST,341.79
317,2093,2025-05-04,FEE,320.1
318,7754,2024-10-27,DEPOSIT,524.9
319,4710,2024-07-22,INTEREST,895.64
320,284,2024-10-07,INTEREST,432.99
321,6017,2023-03-10,FEE,345.73
322,2035,2023-11-10,INTEREST,51.54
323,3656,2025-04-28,WITHDRAWAL,555.18
324,3625,2023-01-18,FEE,248.72
325,1815,2024-03-06,INTEREST,922.31
326,5332,2024-07-20,TRANSFER,630.33
327,672,2024-08-03,TRANSFER,59.27
328,2135,2024-07-19,TRANSFER,587.52
329,7175,2023-04-03,TRANSFER,1541.47
330,1483,2024-02-20,FEE,212.88
331,6327,2023-12-21,INTEREST,10.52
332,5448,2024-04-01,WITHDRAWAL,832.19
333,2347,2023-01-11,INTEREST,384.54
334,6542,2024-05-23,FEE,197.29
335,14,2025-04-29,DEPOSIT,299.53
336,6244,2024-08-29,DEPOSIT,595.93
337,756,2023-06-13,DEPOSIT,779.92
338,169,2023-01-01,TRANSFER,344.74
339,2280,2023-12-16,WITHDRAWAL,222.02
340,1135,2023-11-24,INTEREST,574.67
341,7515,2024-04-18,INTEREST,1670.23
342,7508,2024-09-05,FEE,308.93
343,2662,2023-05-24,FEE,236.38
344,4825,2023-01-02,INTEREST,394.97
345,240,2023-10-15,DEPOSIT,1254.82
346,2288,2024-01-18,WITHDRAWAL,817.32
347,6877,2024-03-06,FEE,563.9
348,4366,2023-12-15,DEPOSIT,794.73
349,2588,2023-03-06,FEE,176.53
350,1310,2023-03-09,WITHDRAWAL,77.49
351,6479,2023-08-09,FEE,135.21
352,5686,2024-08-30,INTEREST,578.69
353,443,2024-10-30,TRANSFER,184.16
354,725,2023-05-02,INTEREST,383.79
355,908,2024-07-19,TRANSFER,47.25
356,1527,2024-03-09,WITHDRAWAL,272.88
357,2418,2025-01-10,FEE,135.3
358,1144,2024-09-18,FEE,881.25
359,75,2025-02-10,INTEREST,373.54
360,2471,2023-03-10,TRANSFER,224.17
361,70,2024-12-20,TRANSFER,189.44
362,6979,2025-01-01,TRANSFER,717.51
363,4841,2024-09-26,DEPOSIT,566.27
364,6415,2024-10-20,FEE,623.63
365,4066,2023-06-19,TRANSFER,1061.2
366,132,2024-10-13,DEPOSIT,599.71
367,1122,2024-08-11,DEPOSIT,328.88
368,4198,2024-03-07,FEE,53.67
369,7596,2023-07-06,DEPOSIT,496.5
370,1191,2023-07-07,DEPOSIT,662.27
371,1129,2024-09-20,INTEREST,476.03
372,6086,2023-02-22,DEPOSIT,459.99
373,598,2024-07-18,TRANSFER,785.24
374,1573,2025-01-28,INTEREST,33.5
375,5562,2025-01-09,TRANSFER,920.14
376,672,2023-08-01,DEPOSIT,583.23
377,4731,2023-05-28,DEPOSIT,808.51
378,5020,2025-05-01,WITHDRAWAL,787.18
379,6106,2023-07-30,DEPOSIT,547.04
380,3716,2023-12-16,TRANSFER,411.16
381,3338,2024-08-14,TRANSFER,1430.58
382,3867,2024-10-05,FEE,291.42
383,2900,2023-09-24,FEE,384.52
384,6564,2024-08-11,INTEREST,323.82
385,2309,2024-02-10,TRANSFER,991.21
386,7121,2023-03-24,TRANSFER,235.81
387,5554,2023-08-09,WITHDRAWAL,367.59
388,2464,2025-02-17,FEE,1142.98
389,5475,2025-05-31,FEE,418.62
390,3991,2023-07-04,WITHDRAWAL,517.27
391,3533,2025-02-03,FEE,479.51
392,2749,2025-03-30,DEPOSIT,470.27
393,5505,2024-04-01,WITHDRAWAL,382.55
394,2591,2023-10-18,FEE,225.26
395,5395,2025-03-08,WITHDRAWAL,1233.8
396,3031,2024-08-19,TRANSFER,310.55
397,3382,2024-05-27,DEPOSIT,260.5
398,6016,2025-02-10,TRANSFER,1220.85
399,7074,2023-06-04,DEPOSIT,848.15
400,7300,2025-01-22,DEPOSIT,575.46
401,1712,2024-03-06,WITHDRAWAL,653.41
402,6960,2023-01-17,FEE,816.86
403,4145,2024-03-13,WITHDRAWAL,970.59
404,4540,2024-07-08,TRANSFER,156.63
405,7029,2023-10-30,INTEREST,240.7
406,172,2023-09-26,DEPOSIT,706.21
407,5026,2023-08-21,WITHDRAWAL,569.55
408,3038,2024-01-07,FEE,588.65
409,5944,2023-06-17,WITHDRAWAL,214.59
410,3402,2024-02-15,TRANSFER,678.52
411,4102,2023-06-09,INTEREST,500.18
412,7756,2025-03-21,WITHDRAWAL,578.46
413,1228,2024-06-05,WITHDRAWAL,208.22
414,2417,2025-06-05,WITHDRAWAL,656.24
415,7038,2023-10-20,WITHDRAWAL,944.04
416,722,2023-09-20,WITHDRAWAL,464.06
417,3620,2023-09-24,WITHDRAWAL,606.45
418,931,2023-12-27,WITHDRAWAL,270.44
419,2329,2023-04-22,DEPOSIT,433.44
420,7857,2025-04-04,FEE,812.33
421,1079,2024-08-13,WITHDRAWAL,317.67
422,5289,2025-06-15,INTEREST,211.69
423,3385,2025-06-09,FEE,722.91
424,2966,2025-02-23,DEPOSIT,802.35
425,3550,2023-11-18,INTEREST,206.29
426,2476,2024-05-14,INTEREST,330.33
427,1536,2025-02-06,FEE,484.11
428,413,2023-04-14,DEPOSIT,437.65
429,839,2024-01-15,DEPOSIT,184.96
430,6192,2024-03-21,INTEREST,627.81
431,3688,2025-04-05,WITHDRAWAL,919.33
432,1027,2024-07-13,INTEREST,169.11
433,3669,2023-03-04,DEPOSIT,104.86
434,4781,2025-02-07,FEE,288.72
435,2836,2024-03-19,INTEREST,972.52
436,6473,2025-03-17,WITHDRAWAL,397.41
437,6377,2023-07-16,DEPOSIT,1311.48
438,5796,2024-11-17,INTEREST,383.78
439,60,2023-08-29,DEPOSIT,553.21
440,590,2023-05-02,FEE,127.88
441,2578,2024-10-18,TRANSFER,1062.14
442,3169,2024-09-17,FEE,79.17
443,2035,2024-10-18,FEE,1305.83
444,5186,2024-06-25,FEE,93.93
445,4069,2023-04-13,TRANSFER,247.76
446,5151,2024-05-21,TRANSFER,147.34
447,5078,2025-06-03,INTEREST,408.68
448,5870,2023-09-10,FEE,875.65
449,777,2024-06-06,FEE,220.99
450,148,2023-04-17,WITHDRAWAL,302.17
451,7828,2024-04-27,INTEREST,457.4
452,47,2024-04-04,INTEREST,1207.13
453,1268,2024-06-01,FEE,1217.43
454,7425,2025-06-17,WITHDRAWAL,330.4
455,1502,2025-06-20,FEE,807.1
456,1619,2024-09-23,DEPOSIT,150.88
457,6500,2023-06-18,DEPOSIT,305.07
458,6798,2023-06-26,FEE,98.62
459,1665,2025-01-15,FEE,565.58
460,6597,2024-09-04,DEPOSIT,551.83
461,6666,2023-10-05,FEE,557.06
462,4041,2024-01-21,DEPOSIT,335.36
463,6321,2024-06-16,TRANSFER,961.53
464,3004,2025-06-23,TRANSFER,784.17
465,2023,2024-09-05,WITHDRAWAL,265.25
466,210,2025-05-19,FEE,405.95
467,7210,2025-03-30,DEPOSIT,231.74
468,7292,2025-02-09,INTEREST,613.14
469,4283,2023-02-04,INTEREST,325.26
470,5145,2024-09-25,DEPOSIT,462.75
471,1188,2023-07-07,INTEREST,516.9
472,3054,2024-08-26,TRANSFER,782.85
473,35,2024-04-12,WITHDRAWAL,702.72
474,2044,2023-01-24,FEE,278.33
475,1277,2023-03-15,WITHDRAWAL,171.17
476,4571,2024-06-26,TRANSFER,916.19
477,4855,2025-02-05,INTEREST,429.47
478,4566,2023-10-29,TRANSFER,694.67
479,2955,2025-03-26,FEE,384.36
480,6666,2024-08-20,FEE,269.42
481,264,2024-10-24,TRANSFER,577.52
482,1129,2023-08-31,FEE,56.12
483,3292,2024-05-03,FEE,176.22
484,4863,2024-06-18,WITHDRAWAL,795.34
485,407,2024-08-30,DEPOSIT,1679.52
486,2694,2024-10-10,FEE,618.55
487,1230,2023-10-08,WITHDRAWAL,287.66
488,6780,2023-01-29,FEE,275.87
489,5336,2023-06-24,DEPOSIT,157.12
490,2112,2023-03-30,TRANSFER,1254.71
491,3017,2024-06-09,DEPOSIT,386.87
492,6958,2024-12-08,FEE,88.52
493,872,2023-04-30,INTEREST,364.63
494,4134,2024-03-01,INTEREST,1049.15
495,4856,2024-05-31,DEPOSIT,458.59
496,4761,2023-11-30,INTEREST,511.39
497,6118,2025-06-13,DEPOSIT,367.4
498,4318,2024-10-02,DEPOSIT,1022.37
499,5462,2025-03-08,WITHDRAWAL,136.17
500,4866,2023-10-10,DEPOSIT,1210.79
501,473,2024-10-22,TRANSFER,388.7
502,7704,2024-02-15,DEPOSIT,397.18
503,6501,2023-06-16,WITHDRAWAL,1459.44
504,3578,2024-10-12,TRANSFER,586.11
505,4675,2023-07-07,FEE,1291.6
506,3833,2023-10-25,INTEREST,705.1
507,4331,2024-07-10,TRANSFER,112.75
508,6746,2023-07-12,DEPOSIT,582.34
509,2142,2023-06-14,FEE,584.87
510,2909,2024-07-03,WITHDRAWAL,1239.75
511,2887,2023-10-10,FEE,1776.42
512,6333,2023-11-20,WITHDRAWAL,819.66
513,4745,2024-07-31,INTEREST,340.19
514,5805,2023-11-18,DEPOSIT,848.76
515,4112,2024-05-12,TRANSFER,523.91
516,1399,2023-10-28,TRANSFER,300.44
517,364,2024-10-31,FEE,649.18
518,744,2023-12-18,DEPOSIT,493.98
519,3470,2024-06-28,DEPOSIT,197.17
520,2458,2023-05-29,FEE,591.68
521,6318,2023-02-21,DEPOSIT,72.18
522,3685,2025-06-19,FEE,72.42
523,2234,2025-06-04,DEPOSIT,264.66
524,4042,2023-04-20,WITHDRAWAL,439.5
525,7198,2023-03-26,FEE,352.14
526,470,2024-06-09,TRANSFER,797.0
527,5500,2025-06-16,TRANSFER,1526.89
528,312,2025-01-29,DEPOSIT,257.81
529,2848,2024-07-20,DEPOSIT,630.75
530,3150,2025-02-25,FEE,136.3
531,4631,2023-07-08,TRANSFER,184.77
532,6673,2025-02-17,FEE,474.71
533,2170,2023-01-03,INTEREST,483.79
534,4324,2024-03-05,WITHDRAWAL,946.35
535,989,2024-09-03,FEE,356.25
536,1432,2024-08-18,INTEREST,277.48
537,5295,2024-11-19,FEE,145.67
538,6027,2025-02-11,WITHDRAWAL,182.24
539,6697,2023-07-13,WITHDRAWAL,634.01
540,4111,2024-02-17,DEPOSIT,753.45
541,214,2025-01-18,INTEREST,514.25
542,4699,2023-04-14,TRANSFER,307.71
543,4148,2025-03-05,FEE,183.34
544,5026,2023-03-15,WITHDRAWAL,380.34
545,7484,2024-01-07,INTEREST,457.25
546,4153,2024-09-08,TRANSFER,133.84
547,1313,2023-06-30,DEPOSIT,216.87
548,3221,2023-07-20,WITHDRAWAL,838.78
549,2456,2023-04-07,FEE,448.46
550,4628,2023-07-10,INTEREST,169.68
551,3441,2024-02-06,WITHDRAWAL,1027.09
552,7492,2024-11-09,TRANSFER,363.61
553,5733,2025-05-30,FEE,487.54
554,2405,2023-11-09,WITHDRAWAL,486.75
555,700,2023-07-14,DEPOSIT,264.62
556,7598,2024-06-09,DEPOSIT,581.44
557,5153,2024-01-30,INTEREST,330.05
558,1567,2023-02-24,DEPOSIT,416.35
559,4770,2024-05-07,TRANSFER,299.4
560,7958,2024-02-08,DEPOSIT,903.61
561,7018,2023-06-26,FEE,1145.64
562,1310,2025-05-24,FEE,1539.77
563,4613,2023-10-23,TRANSFER,928.26
564,681,2025-01-19,INTEREST,138.38
565,1709,2024-06-27,FEE,378.04
566,4823,2023-07-07,INTEREST,104.54
567,3901,2023-08-04,WITHDRAWAL,561.3
568,2165,2025-04-25,TRANSFER,206.65
569,6911,2024-12-10,INTEREST,310.26
570,4365,2023-03-31,WITHDRAWAL,284.25
571,6140,2024-12-27,FEE,200.09
572,1788,2023-12-20,TRANSFER,263.87
573,718,2024-03-09,DEPOSIT,65.33
574,721,2025-03-16,WITHDRAWAL,215.19
575,3235,2023-08-07,WITHDRAWAL,742.46
576,3858,2023-12-30,WITHDRAWAL,105.9
577,2188,2023-03-06,DEPOSIT,92.06
578,3959,2024-09-09,FEE,964.29
579,3753,2024-05-27,DEPOSIT,398.5
580,4240,2023-09-17,INTEREST,559.48
581,2270,2024-08-08,INTEREST,720.15
582,781,2024-08-09,DEPOSIT,271.12
583,4988,2023-05-12,WITHDRAWAL,355.01
584,6732,2024-09-24,WITHDRAWAL,952.31
585,630,2025-01-22,TRANSFER,64.78
586,5730,2023-10-09,INTEREST,741.84
587,4531,2025-01-19,TRANSFER,449.61
588,5665,2025-04-09,FEE,200.83
589,7622,2023-06-24,DEPOSIT,1114.91
590,3922,2024-07-28,DEPOSIT,1179.13
591,7235,2023-02-18,INTEREST,633.63
592,7990,2025-02-12,DEPOSIT,1636.61
593,3078,2023-09-17,WITHDRAWAL,1166.33
594,7972,2025-06-01,WITHDRAWAL,745.33
595,3313,2025-04-08,WITHDRAWAL,498.59
596,3127,2025-03-04,DEPOSIT,96.17
597,2431,2024-05-13,FEE,661.92
598,6578,2023-09-08,TRANSFER,722.72
599,3542,2024-05-06,FEE,810.81
600,3143,2023-04-20,WITHDRAWAL,300.29
601,1630,2023-08-06,WITHDRAWAL,82.75
602,1474,2023-06-04,WITHDRAWAL,596.88
603,480,2024-10-23,WITHDRAWAL,219.88
604,5263,2023-02-07,TRANSFER,153.87
605,2070,2024-06-03,INTEREST,617.18
606,561,2024-12-03,TRANSFER,305.12
607,7590,2024-02-11,FEE,448.7
608,2696,2023-05-20,WITHDRAWAL,978.94
